rel_path,source_type,scanner,dpi,doc_id
Official\Canon120-1\150\s1_51.tif,Official,Canon120-1,150,s1_51
Official\Canon120-1\150\s1_52.tif,Official,Canon120-1,150,s1_52
Official\Canon120-1\150\s1_53.tif,Official,Canon120-1,150,s1_53
Official\Canon120-1\150\s1_54.tif,Official,Canon120-1,150,s1_54
Official\Canon120-1\150\s1_55.tif,Official,Canon120-1,150,s1_55
Official\Canon120-1\150\s1_56.tif,Official,Canon120-1,150,s1_56
Official\Canon120-1\150\s1_57.tif,Official,Canon120-1,150,s1_57
Official\Canon120-1\150\s1_58.tif,Official,Canon120-1,150,s1_58
Official\Canon120-1\150\s1_59.tif,Official,Canon120-1,150,s1_59
Official\Canon120-1\150\s1_60.tif,Official,Canon120-1,150,s1_60
Official\Canon120-1\150\s1_61.tif,Official,Canon120-1,150,s1_61
Official\Canon120-1\150\s1_62.tif,Official,Canon120-1,150,s1_62
Official\Canon120-1\150\s1_63.tif,Official,Canon120-1,150,s1_63
Official\Canon120-1\150\s1_64.tif,Official,Canon120-1,150,s1_64
Official\Canon120-1\150\s1_65.tif,Official,Canon120-1,150,s1_65
Official\Canon120-1\150\s1_66.tif,Official,Canon120-1,150,s1_66
Official\Canon120-1\150\s1_67.tif,Official,Canon120-1,150,s1_67
Official\Canon120-1\150\s1_68.tif,Official,Canon120-1,150,s1_68
Official\Canon120-1\150\s1_69.tif,Official,Canon120-1,150,s1_69
Official\Canon120-1\150\s1_70.tif,Official,Canon120-1,150,s1_70
Official\Canon120-1\150\s1_71.tif,Official,Canon120-1,150,s1_71
Official\Canon120-1\150\s1_72.tif,Official,Canon120-1,150,s1_72
Official\Canon120-1\150\s1_73.tif,Official,Canon120-1,150,s1_73
Official\Canon120-1\150\s1_74.tif,Official,Canon120-1,150,s1_74
Official\Canon120-1\150\s1_75.tif,Official,Canon120-1,150,s1_75
Official\Canon120-1\150\s1_76.tif,Official,Canon120-1,150,s1_76
Official\Canon120-1\150\s1_77.tif,Official,Canon120-1,150,s1_77
Official\Canon120-1\150\s1_78.tif,Official,Canon120-1,150,s1_78
Official\Canon120-1\150\s1_79.tif,Official,Canon120-1,150,s1_79
Official\Canon120-1\150\s1_80.tif,Official,Canon120-1,150,s1_80
Official\Canon120-1\150\s1_81.tif,Official,Canon120-1,150,s1_81
Official\Canon120-1\150\s1_82.tif,Official,Canon120-1,150,s1_82
Official\Canon120-1\150\s1_83.tif,Official,Canon120-1,150,s1_83
Official\Canon120-1\150\s1_84.tif,Official,Canon120-1,150,s1_84
Official\Canon120-1\150\s1_85.tif,Official,Canon120-1,150,s1_85
Official\Canon120-1\150\s1_86.tif,Official,Canon120-1,150,s1_86
Official\Canon120-1\150\s1_87.tif,Official,Canon120-1,150,s1_87
Official\Canon120-1\150\s1_88.tif,Official,Canon120-1,150,s1_88
Official\Canon120-1\150\s1_89.tif,Official,Canon120-1,150,s1_89
Official\Canon120-1\150\s1_90.tif,Official,Canon120-1,150,s1_90
Official\Canon120-1\150\s1_91.tif,Official,Canon120-1,150,s1_91
Official\Canon120-1\150\s1_92.tif,Official,Canon120-1,150,s1_92
Official\Canon120-1\150\s1_93.tif,Official,Canon120-1,150,s1_93
Official\Canon120-1\150\s1_94.tif,Official,Canon120-1,150,s1_94
Official\Canon120-1\150\s1_95.tif,Official,Canon120-1,150,s1_95
Official\Canon120-1\150\s1_96.tif,Official,Canon120-1,150,s1_96
Official\Canon120-1\150\s1_97.tif,Official,Canon120-1,150,s1_97
Official\Canon120-1\150\s1_98.tif,Official,Canon120-1,150,s1_98
Official\Canon120-1\150\s1_99.tif,Official,Canon120-1,150,s1_99
Official\Canon120-1\300\s1_100.tif,Official,Canon120-1,300,s1_100
Official\Canon120-1\300\s1_28.tif,Official,Canon120-1,300,s1_28
Official\Canon120-1\300\s1_29.tif,Official,Canon120-1,300,s1_29
Official\Canon120-1\300\s1_30.tif,Official,Canon120-1,300,s1_30
Official\Canon120-1\300\s1_32.tif,Official,Canon120-1,300,s1_32
Official\Canon120-1\300\s1_34.tif,Official,Canon120-1,300,s1_34
Official\Canon120-1\300\s1_35.tif,Official,Canon120-1,300,s1_35
Official\Canon120-1\300\s1_36.tif,Official,Canon120-1,300,s1_36
Official\Canon120-1\300\s1_37.tif,Official,Canon120-1,300,s1_37
Official\Canon120-1\300\s1_38.tif,Official,Canon120-1,300,s1_38
Official\Canon120-1\300\s1_39.tif,Official,Canon120-1,300,s1_39
Official\Canon120-1\300\s1_40.tif,Official,Canon120-1,300,s1_40
Official\Canon120-1\300\s1_41.tif,Official,Canon120-1,300,s1_41
Official\Canon120-1\300\s1_42.tif,Official,Canon120-1,300,s1_42
Official\Canon120-1\300\s1_43.tif,Official,Canon120-1,300,s1_43
Official\Canon120-1\300\s1_44.tif,Official,Canon120-1,300,s1_44
Official\Canon120-1\300\s1_45.tif,Official,Canon120-1,300,s1_45
Official\Canon120-1\300\s1_46.tif,Official,Canon120-1,300,s1_46
Official\Canon120-1\300\s1_47.tif,Official,Canon120-1,300,s1_47
Official\Canon120-1\300\s1_48.tif,Official,Canon120-1,300,s1_48
Official\Canon120-1\300\s1_49.tif,Official,Canon120-1,300,s1_49
Official\Canon120-1\300\s1_50.tif,Official,Canon120-1,300,s1_50
Official\Canon120-1\300\s1_51.tif,Official,Canon120-1,300,s1_51
Official\Canon120-1\300\s1_52.tif,Official,Canon120-1,300,s1_52
Official\Canon120-1\300\s1_53.tif,Official,Canon120-1,300,s1_53
Official\Canon120-1\300\s1_54.tif,Official,Canon120-1,300,s1_54
Official\Canon120-1\300\s1_55.tif,Official,Canon120-1,300,s1_55
Official\Canon120-1\300\s1_56.tif,Official,Canon120-1,300,s1_56
Official\Canon120-1\300\s1_57.tif,Official,Canon120-1,300,s1_57
Official\Canon120-1\300\s1_58.tif,Official,Canon120-1,300,s1_58
Official\Canon120-1\300\s1_59.tif,Official,Canon120-1,300,s1_59
Official\Canon120-1\300\s1_60.tif,Official,Canon120-1,300,s1_60
Official\Canon120-1\300\s1_61.tif,Official,Canon120-1,300,s1_61
Official\Canon120-1\300\s1_62.tif,Official,Canon120-1,300,s1_62
Official\Canon120-1\300\s1_63.tif,Official,Canon120-1,300,s1_63
Official\Canon120-1\300\s1_64.tif,Official,Canon120-1,300,s1_64
Official\Canon120-1\300\s1_65.tif,Official,Canon120-1,300,s1_65
Official\Canon120-1\300\s1_66.tif,Official,Canon120-1,300,s1_66
Official\Canon120-1\300\s1_67.tif,Official,Canon120-1,300,s1_67
Official\Canon120-1\300\s1_68.tif,Official,Canon120-1,300,s1_68
Official\Canon120-1\300\s1_69.tif,Official,Canon120-1,300,s1_69
Official\Canon120-1\300\s1_70.tif,Official,Canon120-1,300,s1_70
Official\Canon120-1\300\s1_71.tif,Official,Canon120-1,300,s1_71
Official\Canon120-1\300\s1_72.tif,Official,Canon120-1,300,s1_72
Official\Canon120-1\300\s1_73.tif,Official,Canon120-1,300,s1_73
Official\Canon120-1\300\s1_74.tif,Official,Canon120-1,300,s1_74
Official\Canon120-1\300\s1_75.tif,Official,Canon120-1,300,s1_75
Official\Canon120-1\300\s1_76.tif,Official,Canon120-1,300,s1_76
Official\Canon120-1\300\s1_77.tif,Official,Canon120-1,300,s1_77
Official\Canon120-1\300\s1_78.tif,Official,Canon120-1,300,s1_78
Official\Canon120-1\300\s1_79.tif,Official,Canon120-1,300,s1_79
Official\Canon120-1\300\s1_80.tif,Official,Canon120-1,300,s1_80
Official\Canon120-1\300\s1_81.tif,Official,Canon120-1,300,s1_81
Official\Canon120-1\300\s1_82.tif,Official,Canon120-1,300,s1_82
Official\Canon120-1\300\s1_83.tif,Official,Canon120-1,300,s1_83
Official\Canon120-1\300\s1_84.tif,Official,Canon120-1,300,s1_84
Official\Canon120-1\300\s1_85.tif,Official,Canon120-1,300,s1_85
Official\Canon120-1\300\s1_86.tif,Official,Canon120-1,300,s1_86
Official\Canon120-1\300\s1_87.tif,Official,Canon120-1,300,s1_87
Official\Canon120-1\300\s1_88.tif,Official,Canon120-1,300,s1_88
Official\Canon120-1\300\s1_89.tif,Official,Canon120-1,300,s1_89
Official\Canon120-1\300\s1_90.tif,Official,Canon120-1,300,s1_90
Official\Canon120-1\300\s1_91.tif,Official,Canon120-1,300,s1_91
Official\Canon120-1\300\s1_92.tif,Official,Canon120-1,300,s1_92
Official\Canon120-1\300\s1_93.tif,Official,Canon120-1,300,s1_93
Official\Canon120-1\300\s1_94.tif,Official,Canon120-1,300,s1_94
Official\Canon120-1\300\s1_95.tif,Official,Canon120-1,300,s1_95
Official\Canon120-1\300\s1_96.tif,Official,Canon120-1,300,s1_96
Official\Canon120-1\300\s1_97.tif,Official,Canon120-1,300,s1_97
Official\Canon120-1\300\s1_98.tif,Official,Canon120-1,300,s1_98
Official\Canon120-1\300\s1_99.tif,Official,Canon120-1,300,s1_99
Official\Canon120-2\150\s2_100.tif,Official,Canon120-2,150,s2_100
Official\Canon120-2\150\s2_11.tif,Official,Canon120-2,150,s2_11
Official\Canon120-2\150\s2_12.tif,Official,Canon120-2,150,s2_12
Official\Canon120-2\150\s2_13.tif,Official,Canon120-2,150,s2_13
Official\Canon120-2\150\s2_14.tif,Official,Canon120-2,150,s2_14
Official\Canon120-2\150\s2_15.tif,Official,Canon120-2,150,s2_15
Official\Canon120-2\150\s2_16.tif,Official,Canon120-2,150,s2_16
Official\Canon120-2\150\s2_17.tif,Official,Canon120-2,150,s2_17
Official\Canon120-2\150\s2_18.tif,Official,Canon120-2,150,s2_18
Official\Canon120-2\150\s2_19.tif,Official,Canon120-2,150,s2_19
Official\Canon120-2\150\s2_20.tif,Official,Canon120-2,150,s2_20
Official\Canon120-2\150\s2_21.tif,Official,Canon120-2,150,s2_21
Official\Canon120-2\150\s2_22.tif,Official,Canon120-2,150,s2_22
Official\Canon120-2\150\s2_23.tif,Official,Canon120-2,150,s2_23
Official\Canon120-2\150\s2_24.tif,Official,Canon120-2,150,s2_24
Official\Canon120-2\150\s2_25.tif,Official,Canon120-2,150,s2_25
Official\Canon120-2\150\s2_26.tif,Official,Canon120-2,150,s2_26
Official\Canon120-2\150\s2_27.tif,Official,Canon120-2,150,s2_27
Official\Canon120-2\150\s2_28.tif,Official,Canon120-2,150,s2_28
Official\Canon120-2\150\s2_29.tif,Official,Canon120-2,150,s2_29
Official\Canon120-2\150\s2_30.tif,Official,Canon120-2,150,s2_30
Official\Canon120-2\150\s2_31.tif,Official,Canon120-2,150,s2_31
Official\Canon120-2\150\s2_32.tif,Official,Canon120-2,150,s2_32
Official\Canon120-2\150\s2_33.tif,Official,Canon120-2,150,s2_33
Official\Canon120-2\150\s2_34.tif,Official,Canon120-2,150,s2_34
Official\Canon120-2\150\s2_35.tif,Official,Canon120-2,150,s2_35
Official\Canon120-2\150\s2_36.tif,Official,Canon120-2,150,s2_36
Official\Canon120-2\150\s2_37.tif,Official,Canon120-2,150,s2_37
Official\Canon120-2\150\s2_38.tif,Official,Canon120-2,150,s2_38
Official\Canon120-2\150\s2_39.tif,Official,Canon120-2,150,s2_39
Official\Canon120-2\150\s2_40.tif,Official,Canon120-2,150,s2_40
Official\Canon120-2\150\s2_41.tif,Official,Canon120-2,150,s2_41
Official\Canon120-2\150\s2_42.tif,Official,Canon120-2,150,s2_42
Official\Canon120-2\150\s2_43.tif,Official,Canon120-2,150,s2_43
Official\Canon120-2\150\s2_44.tif,Official,Canon120-2,150,s2_44
Official\Canon120-2\150\s2_45.tif,Official,Canon120-2,150,s2_45
Official\Canon120-2\150\s2_46.tif,Official,Canon120-2,150,s2_46
Official\Canon120-2\150\s2_47.tif,Official,Canon120-2,150,s2_47
Official\Canon120-2\150\s2_48.tif,Official,Canon120-2,150,s2_48
Official\Canon120-2\150\s2_49.tif,Official,Canon120-2,150,s2_49
Official\Canon120-2\150\s2_50.tif,Official,Canon120-2,150,s2_50
Official\Canon120-2\150\s2_51.tif,Official,Canon120-2,150,s2_51
Official\Canon120-2\150\s2_52.tif,Official,Canon120-2,150,s2_52
Official\Canon120-2\150\s2_53.tif,Official,Canon120-2,150,s2_53
Official\Canon120-2\150\s2_54.tif,Official,Canon120-2,150,s2_54
Official\Canon120-2\150\s2_55.tif,Official,Canon120-2,150,s2_55
Official\Canon120-2\150\s2_56.tif,Official,Canon120-2,150,s2_56
Official\Canon120-2\150\s2_57.tif,Official,Canon120-2,150,s2_57
Official\Canon120-2\150\s2_58.tif,Official,Canon120-2,150,s2_58
Official\Canon120-2\150\s2_59.tif,Official,Canon120-2,150,s2_59
Official\Canon120-2\150\s2_60.tif,Official,Canon120-2,150,s2_60
Official\Canon120-2\150\s2_61.tif,Official,Canon120-2,150,s2_61
Official\Canon120-2\150\s2_62.tif,Official,Canon120-2,150,s2_62
Official\Canon120-2\150\s2_63.tif,Official,Canon120-2,150,s2_63
Official\Canon120-2\150\s2_64.tif,Official,Canon120-2,150,s2_64
Official\Canon120-2\150\s2_65.tif,Official,Canon120-2,150,s2_65
Official\Canon120-2\150\s2_66.tif,Official,Canon120-2,150,s2_66
Official\Canon120-2\150\s2_67.tif,Official,Canon120-2,150,s2_67
Official\Canon120-2\150\s2_68.tif,Official,Canon120-2,150,s2_68
Official\Canon120-2\150\s2_69.tif,Official,Canon120-2,150,s2_69
Official\Canon120-2\150\s2_70.tif,Official,Canon120-2,150,s2_70
Official\Canon120-2\150\s2_71.tif,Official,Canon120-2,150,s2_71
Official\Canon120-2\150\s2_72.tif,Official,Canon120-2,150,s2_72
Official\Canon120-2\150\s2_73.tif,Official,Canon120-2,150,s2_73
Official\Canon120-2\150\s2_74.tif,Official,Canon120-2,150,s2_74
Official\Canon120-2\150\s2_75.tif,Official,Canon120-2,150,s2_75
Official\Canon120-2\150\s2_76.tif,Official,Canon120-2,150,s2_76
Official\Canon120-2\150\s2_77.tif,Official,Canon120-2,150,s2_77
Official\Canon120-2\150\s2_78.tif,Official,Canon120-2,150,s2_78
Official\Canon120-2\150\s2_79.tif,Official,Canon120-2,150,s2_79
Official\Canon120-2\150\s2_80.tif,Official,Canon120-2,150,s2_80
Official\Canon120-2\150\s2_81.tif,Official,Canon120-2,150,s2_81
Official\Canon120-2\150\s2_82.tif,Official,Canon120-2,150,s2_82
Official\Canon120-2\150\s2_83.tif,Official,Canon120-2,150,s2_83
Official\Canon120-2\150\s2_84.tif,Official,Canon120-2,150,s2_84
Official\Canon120-2\150\s2_85.tif,Official,Canon120-2,150,s2_85
Official\Canon120-2\150\s2_86.tif,Official,Canon120-2,150,s2_86
Official\Canon120-2\150\s2_87.tif,Official,Canon120-2,150,s2_87
Official\Canon120-2\150\s2_88.tif,Official,Canon120-2,150,s2_88
Official\Canon120-2\150\s2_89.tif,Official,Canon120-2,150,s2_89
Official\Canon120-2\150\s2_90.tif,Official,Canon120-2,150,s2_90
Official\Canon120-2\150\s2_91.tif,Official,Canon120-2,150,s2_91
Official\Canon120-2\150\s2_92.tif,Official,Canon120-2,150,s2_92
Official\Canon120-2\150\s2_93.tif,Official,Canon120-2,150,s2_93
Official\Canon120-2\150\s2_94.tif,Official,Canon120-2,150,s2_94
Official\Canon120-2\150\s2_95.tif,Official,Canon120-2,150,s2_95
Official\Canon120-2\150\s2_96.tif,Official,Canon120-2,150,s2_96
Official\Canon120-2\150\s2_97.tif,Official,Canon120-2,150,s2_97
Official\Canon120-2\150\s2_98.tif,Official,Canon120-2,150,s2_98
Official\Canon120-2\150\s2_99.tif,Official,Canon120-2,150,s2_99
Official\Canon120-2\300\s2_100.tif,Official,Canon120-2,300,s2_100
Official\Canon120-2\300\s2_17.tif,Official,Canon120-2,300,s2_17
Official\Canon120-2\300\s2_23.tif,Official,Canon120-2,300,s2_23
Official\Canon120-2\300\s2_28.tif,Official,Canon120-2,300,s2_28
Official\Canon120-2\300\s2_29.tif,Official,Canon120-2,300,s2_29
Official\Canon120-2\300\s2_32.tif,Official,Canon120-2,300,s2_32
Official\Canon120-2\300\s2_33.tif,Official,Canon120-2,300,s2_33
Official\Canon120-2\300\s2_37.tif,Official,Canon120-2,300,s2_37
Official\Canon120-2\300\s2_38.tif,Official,Canon120-2,300,s2_38
Official\Canon120-2\300\s2_39.tif,Official,Canon120-2,300,s2_39
Official\Canon120-2\300\s2_41.tif,Official,Canon120-2,300,s2_41
Official\Canon120-2\300\s2_42.tif,Official,Canon120-2,300,s2_42
Official\Canon120-2\300\s2_46.tif,Official,Canon120-2,300,s2_46
Official\Canon120-2\300\s2_47.tif,Official,Canon120-2,300,s2_47
Official\Canon120-2\300\s2_48.tif,Official,Canon120-2,300,s2_48
Official\Canon120-2\300\s2_49.tif,Official,Canon120-2,300,s2_49
Official\Canon120-2\300\s2_50.tif,Official,Canon120-2,300,s2_50
Official\Canon120-2\300\s2_51.tif,Official,Canon120-2,300,s2_51
Official\Canon120-2\300\s2_52.tif,Official,Canon120-2,300,s2_52
Official\Canon120-2\300\s2_53.tif,Official,Canon120-2,300,s2_53
Official\Canon120-2\300\s2_54.tif,Official,Canon120-2,300,s2_54
Official\Canon120-2\300\s2_55.tif,Official,Canon120-2,300,s2_55
Official\Canon120-2\300\s2_56.tif,Official,Canon120-2,300,s2_56
Official\Canon120-2\300\s2_57.tif,Official,Canon120-2,300,s2_57
Official\Canon120-2\300\s2_58.tif,Official,Canon120-2,300,s2_58
Official\Canon120-2\300\s2_59.tif,Official,Canon120-2,300,s2_59
Official\Canon120-2\300\s2_60.tif,Official,Canon120-2,300,s2_60
Official\Canon120-2\300\s2_61.tif,Official,Canon120-2,300,s2_61
Official\Canon120-2\300\s2_62.tif,Official,Canon120-2,300,s2_62
Official\Canon120-2\300\s2_63.tif,Official,Canon120-2,300,s2_63
Official\Canon120-2\300\s2_64.tif,Official,Canon120-2,300,s2_64
Official\Canon120-2\300\s2_65.tif,Official,Canon120-2,300,s2_65
Official\Canon120-2\300\s2_66.tif,Official,Canon120-2,300,s2_66
Official\Canon120-2\300\s2_67.tif,Official,Canon120-2,300,s2_67
Official\Canon120-2\300\s2_68.tif,Official,Canon120-2,300,s2_68
Official\Canon120-2\300\s2_69.tif,Official,Canon120-2,300,s2_69
Official\Canon120-2\300\s2_70.tif,Official,Canon120-2,300,s2_70
Official\Canon120-2\300\s2_71.tif,Official,Canon120-2,300,s2_71
Official\Canon120-2\300\s2_72.tif,Official,Canon120-2,300,s2_72
Official\Canon120-2\300\s2_73.tif,Official,Canon120-2,300,s2_73
Official\Canon120-2\300\s2_74.tif,Official,Canon120-2,300,s2_74
Official\Canon120-2\300\s2_75.tif,Official,Canon120-2,300,s2_75
Official\Canon120-2\300\s2_76.tif,Official,Canon120-2,300,s2_76
Official\Canon120-2\300\s2_77.tif,Official,Canon120-2,300,s2_77
Official\Canon120-2\300\s2_78.tif,Official,Canon120-2,300,s2_78
Official\Canon120-2\300\s2_79.tif,Official,Canon120-2,300,s2_79
Official\Canon120-2\300\s2_80.tif,Official,Canon120-2,300,s2_80
Official\Canon120-2\300\s2_81.tif,Official,Canon120-2,300,s2_81
Official\Canon120-2\300\s2_82.tif,Official,Canon120-2,300,s2_82
Official\Canon120-2\300\s2_83.tif,Official,Canon120-2,300,s2_83
Official\Canon120-2\300\s2_84.tif,Official,Canon120-2,300,s2_84
Official\Canon120-2\300\s2_85.tif,Official,Canon120-2,300,s2_85
Official\Canon120-2\300\s2_86.tif,Official,Canon120-2,300,s2_86
Official\Canon120-2\300\s2_87.tif,Official,Canon120-2,300,s2_87
Official\Canon120-2\300\s2_88.tif,Official,Canon120-2,300,s2_88
Official\Canon120-2\300\s2_89.tif,Official,Canon120-2,300,s2_89
Official\Canon120-2\300\s2_90.tif,Official,Canon120-2,300,s2_90
Official\Canon120-2\300\s2_91.tif,Official,Canon120-2,300,s2_91
Official\Canon120-2\300\s2_92.tif,Official,Canon120-2,300,s2_92
Official\Canon120-2\300\s2_93.tif,Official,Canon120-2,300,s2_93
Official\Canon120-2\300\s2_94.tif,Official,Canon120-2,300,s2_94
Official\Canon120-2\300\s2_95.tif,Official,Canon120-2,300,s2_95
Official\Canon120-2\300\s2_96.tif,Official,Canon120-2,300,s2_96
Official\Canon120-2\300\s2_97.tif,Official,Canon120-2,300,s2_97
Official\Canon120-2\300\s2_98.tif,Official,Canon120-2,300,s2_98
Official\Canon120-2\300\s2_99.tif,Official,Canon120-2,300,s2_99
Official\Canon220\150\s3_100.tif,Official,Canon220,150,s3_100
Official\Canon220\150\s3_11.tif,Official,Canon220,150,s3_11
Official\Canon220\150\s3_12.tif,Official,Canon220,150,s3_12
Official\Canon220\150\s3_13.tif,Official,Canon220,150,s3_13
Official\Canon220\150\s3_14.tif,Official,Canon220,150,s3_14
Official\Canon220\150\s3_16.tif,Official,Canon220,150,s3_16
Official\Canon220\150\s3_17.tif,Official,Canon220,150,s3_17
Official\Canon220\150\s3_18.tif,Official,Canon220,150,s3_18
Official\Canon220\150\s3_19.tif,Official,Canon220,150,s3_19
Official\Canon220\150\s3_20.tif,Official,Canon220,150,s3_20
Official\Canon220\150\s3_21.tif,Official,Canon220,150,s3_21
Official\Canon220\150\s3_22.tif,Official,Canon220,150,s3_22
Official\Canon220\150\s3_23.tif,Official,Canon220,150,s3_23
Official\Canon220\150\s3_24.tif,Official,Canon220,150,s3_24
Official\Canon220\150\s3_25.tif,Official,Canon220,150,s3_25
Official\Canon220\150\s3_26.tif,Official,Canon220,150,s3_26
Official\Canon220\150\s3_27.tif,Official,Canon220,150,s3_27
Official\Canon220\150\s3_28.tif,Official,Canon220,150,s3_28
Official\Canon220\150\s3_29.tif,Official,Canon220,150,s3_29
Official\Canon220\150\s3_30.tif,Official,Canon220,150,s3_30
Official\Canon220\150\s3_31.tif,Official,Canon220,150,s3_31
Official\Canon220\150\s3_32.tif,Official,Canon220,150,s3_32
Official\Canon220\150\s3_33.tif,Official,Canon220,150,s3_33
Official\Canon220\150\s3_34.tif,Official,Canon220,150,s3_34
Official\Canon220\150\s3_35.tif,Official,Canon220,150,s3_35
Official\Canon220\150\s3_36.tif,Official,Canon220,150,s3_36
Official\Canon220\150\s3_37.tif,Official,Canon220,150,s3_37
Official\Canon220\150\s3_38.tif,Official,Canon220,150,s3_38
Official\Canon220\150\s3_39.tif,Official,Canon220,150,s3_39
Official\Canon220\150\s3_4.tif,Official,Canon220,150,s3_4
Official\Canon220\150\s3_40.tif,Official,Canon220,150,s3_40
Official\Canon220\150\s3_41.tif,Official,Canon220,150,s3_41
Official\Canon220\150\s3_42.tif,Official,Canon220,150,s3_42
Official\Canon220\150\s3_43.tif,Official,Canon220,150,s3_43
Official\Canon220\150\s3_44.tif,Official,Canon220,150,s3_44
Official\Canon220\150\s3_45.tif,Official,Canon220,150,s3_45
Official\Canon220\150\s3_46.tif,Official,Canon220,150,s3_46
Official\Canon220\150\s3_47.tif,Official,Canon220,150,s3_47
Official\Canon220\150\s3_48.tif,Official,Canon220,150,s3_48
Official\Canon220\150\s3_49.tif,Official,Canon220,150,s3_49
Official\Canon220\150\s3_50.tif,Official,Canon220,150,s3_50
Official\Canon220\150\s3_51.tif,Official,Canon220,150,s3_51
Official\Canon220\150\s3_52.tif,Official,Canon220,150,s3_52
Official\Canon220\150\s3_53.tif,Official,Canon220,150,s3_53
Official\Canon220\150\s3_54.tif,Official,Canon220,150,s3_54
Official\Canon220\150\s3_55.tif,Official,Canon220,150,s3_55
Official\Canon220\150\s3_56.tif,Official,Canon220,150,s3_56
Official\Canon220\150\s3_57.tif,Official,Canon220,150,s3_57
Official\Canon220\150\s3_58.tif,Official,Canon220,150,s3_58
Official\Canon220\150\s3_59.tif,Official,Canon220,150,s3_59
Official\Canon220\150\s3_6.tif,Official,Canon220,150,s3_6
Official\Canon220\150\s3_60.tif,Official,Canon220,150,s3_60
Official\Canon220\150\s3_61.tif,Official,Canon220,150,s3_61
Official\Canon220\150\s3_62.tif,Official,Canon220,150,s3_62
Official\Canon220\150\s3_63.tif,Official,Canon220,150,s3_63
Official\Canon220\150\s3_64.tif,Official,Canon220,150,s3_64
